Serial Number,Title,Organisation,Closing Date,Link
1,[Power Supply and Traction Works],Rail Infrastructure Development Company (Karnataka) Limited - K-RIDE,28-Nov-2025 03:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=St928wvPIgOc7lfhu76k88w%3D%3D
2,[Construction of Flyover at Kawas Patiya at Km14.400 and VUP at Reliance at Km11.220 on NH53 of Surat Hazira section in Gujarat on EPC Mode],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,25-Sep-2025 03:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S0VYa1BzZHoDn8x8u6yaGjg%3D%3D
3,[Tolling Operation Maintenance and Transfer of Chandikhol  Bhadrak section of NH 16 Panikholi  Rimuli Section of NH  20 and Rimuli  Koida Section of NH 520 in the state of Odisha (TOT Bundle 18)],National Highways Authority of India||Head Office - NHAI||Administration - NHAI,25-Sep-2025 11:00 AM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SpGDun%2Bi8OWyUxFX5korWpw%3D%3D
4,[Tolling Operation Maintenance and Transfer of Trichy  Thanjavur section of NH 83 and Madurai  Tuticorin section of NH  38 in Tamil Nadu (TOT Bundle 19)],National Highways Authority of India||Head Office - NHAI||Administration - NHAI,12-Nov-2025 11:00 AM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SqMEOUdYd%2Bk7syB4EoW556A%3D%3D
5,[Construction of Balance Works in Tiger Corridor and Provision of Mitigation Measures Structures in Itarsi Betul Section of NH-69 (km 61.500 to km 67.380 km 80.940 to km 88.640 km 108.933 to 116.263) in Madhya Pradesh on EPC mode.],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,29-Sep-2025 11:00 AM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S0366lxV6lTFvOevHr%2BBkTg%3D%3D
6,[Develop of 4lane Ac Sirhind Sehna sec of NH205AG Delhi Amritsar Highway NH44 near vill Sirhind Ch.27.370 to junc with DAK Expressway NE5 near Malerkotla Ch.79.200 Total L51.83 Km PkgI as a part of Mohali Barnala IC in Punjab under NH O on HAM],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,25-Sep-2025 11:00 AM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S5MebwjdCEmXR%2Bf7ae8pcsA%3D%3D
7,[Develop. of 4lane AC Sirhind Sehna sec of NH205AG from DAK Expressway NE5 near Malerkotla Ch79.200 to junc with LB Highway NH754 AD near vill Sehna Ch.134.290 TL 55.09 Km PKGII part of Mohali Barnala IC in Punjab under NH(O) on HAM],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,25-Sep-2025 11:00 AM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SCrnfFCk90hn%2FLb%2BE%2FoXpDw%3D%3D
8,[IE Services for Construction of 6-lane Greenfield Highway starting from its Junction with NH-4B (New NH-348) near Pagote (km.0.000) till its Junction on NH-48 at Chowk (km.29.219) in Maharashtra to be executed on BOT (Toll) mode under NH (O)],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,25-Sep-2025 11:00 AM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SnRKbBTT57wyOq0k62hzCmg%3D%3D
9,[Const. of  4Lane Elevated Road in Jodhpur city portion from Mahamandir Ch.0.000 to Akhaliya Chouraha Ch.7.633) in Rajasthan on HAM under NH(O) Scheme],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,08-Oct-2025 11:00 AM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SEhiR5ubA4An93OstTigIRA%3D%3D
10,[Construction of new Six lane Access Controlled Capital Region Ring Road from Rameshwar (NH 16) to Bilipada from Km 0.000 to Km 40.700 in the State of Odisha under NH(O) on Hybrid Annuity Mode (Package 1)],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,30-Sep-2025 11:00 AM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SoAi%2BZiYLAqcAIJlVz1bgig%3D%3D
11,[Construction of new 6 lane Capital Region Ring Road (CRRR) from Gobindpur near Kuspangi (NH 42) to Tangi near Bandalo Toll Palza (NH 16) (Km. 70.540 to Km. 110.870) on Hybrid Annuity Mode in the State of Odisha],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,30-Sep-2025 11:00 AM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SwKgOCf7CLcX8A0VIcO%2FJUA%3D%3D
12,[Construction of new Six lane Access Controlled Capital Region Ring Road from Rameswar (NH16) to Gobindpur Package II from Design Ch. Km. 40.700 to Km. 70.995 in the State of Odisha under NH(O) on Hybrid Annuity Mode],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,30-Sep-2025 11:00 AM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S%2FHwrQewt%2B9OWW2x4hfBuuw%3D%3D
13,[CS for AE for Supervision of Construction of Balance Works in Tiger Corridor and Provision of Mitigation Measures Structures in Itarsi Betul Section of NH-69 (km 61.500 to km 67.380 km 80.940 to km 88.640 km 108.933 to 116.263) in MP on EPC mode.],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,25-Sep-2025 11:00 AM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S1hXQ2LML%2FuvI6JFlNmIN0w%3D%3D
14,[IE Services for Construction of new Six lane Access Controlled Capital Region Ring Road from Rameshwar (NH 16) to Bilipada from Km. 0.000 to Km. 40.700 in the State of Odisha under NH(O) on Hybrid Annuity Mode (Package 1)],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,30-Sep-2025 11:00 AM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SfZZqlY6rm0Lq2TLJHUlAMA%3D%3D
15,[IE Services for Construction of new Six lane Access Controlled Capital Region Ring Road from Rameswar (NH16) to Gobindpur Package II from Design Ch. Km. 40.700 to Km. 70.995 in the State of Odisha under NH(O) on Hybrid Annuity Mode.],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,30-Sep-2025 11:00 AM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SBq0ckNYqhZAt77fCz3whQA%3D%3D
16,[IE Services for Construction of new Six lane Access Controlled Capital Region Ring Road from Gobindpur (NH 55) to Tangi from Km. 70.995 to Km. 111.325 in the State of Odisha under NH(O) on Hybrid Annuity Mode (Package 3)],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,30-Sep-2025 11:00 AM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SdMzT7LHoKzUYnrgCh5g4ig%3D%3D
17,[Const. of 6 lane Zirakpur Bypass Starting from Junc. with NH7 Zirakpur Patiala DC 0.000 and ending at Junc. with NH5 Zirakpur Parwanoo DC 16.800 TL 19.200 Km in Punjab and Haryana under NH(O) on HAM],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,18-Sep-2025 11:00 AM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=Sd4fSVS17%2Fjcm38slFGADLw%3D%3D
18,[Development of 4-Lane Access Controlled GF Regional Expressway on Northern side of Hyderabad from Girmapur village (Design Ch.-1.518) to Reddipalle village (DesignCh.33.000) length of 34.518Km in Telangana under NH(O) on EPC Mode (Package-I)],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,03-Nov-2025 11:00 AM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=Svcm8Vo5zLpplVyHSiuuSrQ%3D%3D
19,[Development of 4 Lane AC Greenfield Regional Expressway on Northern side of Hyderabad from Reddipalle vill (DC. 33.000) to Islampur vill (DC. 59.000) for a design length of 26.000 Km in Telangana under NH(O) on EPC Mode (Package II)],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,03-Nov-2025 11:00 AM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SGdA9vJt935PkJUp7lboX%2Fw%3D%3D
20,[Development of 4-Lane Access Controlled GF Regional Expressway on Northern side of Hyderabad from Islampur village (Design Ch.59.000) to Pragnapur village (Design Ch.82.000) length of 23.000 Km in Telangana under NH(O) on EPC Mode (Package-III)],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,03-Nov-2025 11:00 AM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SCHIgH6zVel9RWZZ6xPabwA%3D%3D
21,[Development of 4 Lane AC Greenfield Regional Expressway on Northern side of Hyderabad from Pragnapur vill (DC. 82.000) to Rayagiri vill (DC. 125.000) for a design length of 43.000 Km in Telangana under NH(O) on EPC Mode (Package IV)],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,03-Nov-2025 11:00 AM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=Svt0WD8IOHcIocFxZ9FDEsA%3D%3D
22,[Development of 4-Lane Access Controlled GF Regional Expressway on Northern side of Hyderabad from Rayagiri village (Design Ch.125.000) to Tangad Palle village (Design Ch. 160.000) length of 35.000 Km in Telangana under NH(O) on EPC Mode (Package-V)],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,03-Nov-2025 11:00 AM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S3V1F0tfeVUYg7aNYC3VOVQ%3D%3D
23,"[Periodical internal and external painting of Infra buildings, structures located in common areas at Kaiga Plantsite, Kaiga.]",Nuclear Power Corporation Of India Limited||Kaiga Generating Station Kaiga Site - NPCIL||Centralised Tendering Cell-NPCIL,23-Sep-2025 05:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SabICMyXq5%2FjSghSKCMV8yw%3D%3D
24,[DSITC AND AICMC INCLUDING OPERATIONS OF ARRIVAL AND NON-INLINE DEPARTURE BHS AT DHOLERA AIRPORT],Airports Authority of India||Western Region - AAI||AHMEDABAD - AAI||ENGG ELECT-VAAH - AAI,20-Sep-2025 06:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SX%2BJvN%2BqgNcv97DDNtBHq%2Bg%3D%3D
25,[Supply of Threat Containment Vessel (TCV) at various AAI Airports],Airports Authority of India||CHQ - AAI||Airport Systems - AAI,23-Sep-2025 05:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SjVYKoPLP2LXrOAXv%2FSStLw%3D%3D
26,[Repairing Damaged  Profile Roof Sheet of Terminal Building at SGRDJI Airport Amritsar.],Airports Authority of India||Northern Region - AAI||LUDHIANA - AAI||ENGG CIVIL-LUDHIANA - AAI,18-Sep-2025 11:00 AM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SmPggaszbtmV2w25mJsCelw%3D%3D
27,"[Development of New Greenfield Airport at Bundi, Kota Rajasthan. Detailed Designing, Engineering, Procurement and Construction of New Terminal Building, ATC Tower, Fire Station, Car Parking, City Side Development and other associated works.]",Airports Authority of India||CHQ - AAI||Engineering Civil - AAI,06-Oct-2025 06:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S3sZ73CkV4ZEn1iuCxONerQ%3D%3D
28,[VEHICLE PARKING AT BHAVNAGAR AIRPORT],Airports Authority of India||Western Region - AAI||BHAVNAGAR - AAI||GENERAL-VABV - AAI,17-Sep-2025 03:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SdrpkgRPfALUVpjD58JLtPg%3D%3D
29,"[SUPPLY OF 33 Nos. AIRFIELD CRASH FIRE TENDERS (ACFTs) / AIRCRAFT RESCUE AND FIRE FIGHTING VEHICLES (ARFFVs) OF 6,000 LITERS WATER TANK CAPACITY WITH 08 YEARS COMPREHENSIVE ANNUAL MAINTENANCE CONTRACT AFTER 02 YEARS OF DEFECT LIABILITY PERIOD]",Airports Authority of India||CHQ - AAI||Technical - AAI,24-Sep-2025 03:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SWGSSi8k7N385ozqnm6FISw%3D%3D
30,"[ADVERTISING RIGHTS CONCESSION TO DESIGN, DEVELOP, OPERATE, AND MARKET, THE ADVERTISING OPPORTUNITY AT CIVIL ENCLAVE, JAMNAGAR AIRPORT]",Airports Authority of India||Western Region - AAI||JAMNAGAR - AAI||COMMERCIAL-VAJM - AAI,15-Sep-2025 03:30 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SL6lnjRrEI7mG%2BN8v2IkaDQ%3D%3D
31,"[DEPLOYMENT OF 04 Nos. UNARMED SECURITY PERSONNEL FOR PERFORMING NON-CORE DUTIES AT AAI BAREILLY AIRPORT, BAREILLY THROUGH DGR SPONSORED SECURITY AGENCY.]",Airports Authority of India||Northern Region - AAI||JODHPUR - AAI||ENGG ELECT-JODHPUR - AAI,25-Sep-2025 06:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=STSIGqt7lIUdffcWMG31jYw%3D%3D
32,[Construction of Apron at Jammu Airport. Sub Head SITC of Trolley Gate],Airports Authority of India||Northern Region - AAI||JAMMU - AAI||ENGG CIVIL-JAMMU - AAI,15-Sep-2025 06:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S7Trjkfdv6zMjE9AjexD%2B3A%3D%3D
33,"[Development of New Greenfield Airport at Dholera, Ahmedabad (Gujarat). Phase-1. S.H. Construction of Security Infrastructure i.e. Admin Office, BDDS Equipment Room etc. at Dholera Airport]",Airports Authority of India||Western Region - AAI||AHMEDABAD - AAI||ENGG CIVIL-VAAH - AAI,16-Sep-2025 06:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SBdXQv7%2FXjvkzCt0lChj%2BFg%3D%3D
34,[Miscelleneous minor capital work in city side at Pakyong Airport],Airports Authority of India||North East Region - AAI||PAKYONG - AAI||ENGG CIVIL-PAKYONG - AAI,22-Sep-2025 06:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SUwdSgtrWbweUNzaNTwOoxw%3D%3D
35,"[License for Operating Tour Operator Cum Hotel Reservation Counter (Counter No.32) at Arrival Side of NITB, Goa International Airport, Dabolim.]",Airports Authority of India||Western Region - AAI||GOA - AAI||COMMERCIAL-VAGO - AAI,16-Sep-2025 03:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=Swrhi%2Fu7nsVVfr1Q%2BiFEeJg%3D%3D
36,"[Development and Establishment of Hotel cum flight Kitchen through Design, Build, Finance, Operate, Maintain and Transfer (DBFOMT) basis at Maharana Pratap Airport Udaipur (Rajasthan).]",Airports Authority of India||CHQ - AAI||Engineering Civil - AAI,17-Sep-2025 06:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SpMRbFrqUA9vh4Rtdg6IcRg%3D%3D
37,"[Concession to Supply, Install, Test, Commission (SITC) and operate Automated Vehicle Parking Management System, Collection of Parking Fees and Excess Time Fees Rights at AAI Aurangabad Airport-WR]",Airports Authority of India||Western Region - AAI||AURANGABAD - AAI||COMMERCIAL-VAAU - AAI,16-Sep-2025 03:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SvtqmvJRcm20LDJ031OXQzQ%3D%3D
38,[Renovation of Toilet Blocks in Terminal Building at Bikaner Airport],Airports Authority of India||Northern Region - AAI||JODHPUR - AAI||ENGG CIVIL-JODHPUR - AAI,17-Sep-2025 06:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SdZYxAU8v2rSCe2Qmswgqlw%3D%3D
39,[Construction of Guest House and Transit / Hostel Accommodation at Kolhapur Airport.],Airports Authority of India||Western Region - AAI||RAJKOT - AAI||ENGG CIVIL-VARK - AAI,15-Sep-2025 06:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S1B8kHkOmBT4lNkI%2BVdwXNw%3D%3D
40,"[Provision of FDA - Beam Detector, for New Integrated Cargo Terminal Building at Imphal International Airport.]",Airports Authority of India||North East Region - AAI||IMPHAL - AAI,16-Sep-2025 05:30 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S0cYsPPDkdRs5L06bD%2BB9oA%3D%3D
41,[Construction of New Sub Station at Salem Airport SH Civil Works],Airports Authority of India||Southern Region - AAI||SALEM - AAI||ENGG CIVIL-VOSM - AAI,22-Sep-2025 11:00 AM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S%2FCHh0K9dQNONT4Dz%2BLD71Q%3D%3D
42,[External Painting of AAI Residential colony Old and New including Boundary wall and other associated area at RHQ NER Guwahati 2025 26],Airports Authority of India||North East Region - AAI||RHQ-NER - AAI||ENGG CIVIL-NER - AAI,23-Sep-2025 06:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SMet%2B3njHxu%2FKqWBhH5gJfQ%3D%3D
43,[LICENSE FOR DUTY PAID LIQUOR SHOP IN ARRIVAL HALL  IN NEW TERMINAL BUILDING],Airports Authority of India||Northern Region - AAI||DEHRADUN - AAI||COMMERCIAL-DEHRADUN - AAI,18-Sep-2025 03:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SFWXYadAxQj0R5hw47sYlFQ%3D%3D
44,[Constructions of Quarter Guard and Q.R.T. Barrack at Gwalior airport.],Airports Authority of India||Northern Region - AAI||GWALIOR - AAI||GENERAL-VIGR - AAI,25-Sep-2025 06:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=Sq1hrXd0StlK18hl3vLh9qQ%3D%3D
45,[Annual Maintenance Contract (Civil) 2025-26 for Operational area at C. A Porbandar],Airports Authority of India||Western Region - AAI||RHQ-WR - AAI||ENGG CIVIL-WR - AAI,25-Sep-2025 06:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SD9UxlFFJpZ%2B92SHkPH5lMw%3D%3D
46,[Providing and Installation of Pre Fabricated Pseudo PUF Toilet Block along with providing and sinking of required bore wells at NSCBI Airport Kolkata SH Electrical Works],Airports Authority of India||Eastern Region - AAI||KOLKATA AIRPORT - AAI||ENGG ELECT-VECC - AAI,17-Sep-2025 03:30 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SqDkEbWePrXEsq93cJBjSFA%3D%3D
47,[E-TENDER FOR BAGGAGE WRAPPING SERVICES ],Airports Authority of India||Southern Region - AAI||COIMBATORE - AAI||COMMERCIAL-VOCB - AAI,18-Sep-2025 02:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SCeI%2BJ0ZloCBmvf3hwMtf0w%3D%3D
48,"[Replacement of Cooling Towers (02 Nos.) at Devi Ahilya Bai Holkar Airport, Indore]",Airports Authority of India||Western Region - AAI||INDORE - AAI||ENGG ELECT-VAID - AAI,18-Sep-2025 03:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=Sg23lWm8qpe24gsfEOBfajA%3D%3D
49,[E-TENDER FOR INTER-STATE A/C COACH SERVICES / CITY COACH SERVICE],Airports Authority of India||Southern Region - AAI||COIMBATORE - AAI||COMMERCIAL-VOCB - AAI,18-Sep-2025 02:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SoJXt%2Bp3B3eYWqF38ohblOA%3D%3D
